ENG_NAME,MODE,CO_EI,HC_EI,NOX_EI,SOX_EI,SMOKE_NUM,FUEL_KG/S,ICAO_UID,MODE_SN
CF34-3B,4,47.59,4.69,3.72,1,3.1,0.0489,5GE084,3.1
CF34-8C1,1,2.91,0.06,11.1,1,5.33,0.168,5GE083,0
CF34-8C1,2,0.5,0.02,12.82,1,1.48,0.494,5GE083,1.48
CF34-8C1,3,0.41,0.02,14.67,1,5.33,0.6042,5GE083,5.33
CF34-8C1,4,24.92,0.08,4.31,1,5.33,0.069,5GE083,0
CF34-8C1 Block 1,1,4.67,0.07,9.85,1,5.2,0.1702,6GE096,0
CF34-8C1 Block 1,2,0.57,0.03,12,1,1.25,0.479,6GE096,1.25
CF34-8C1 Block 1,3,0.59,0.02,13.82,1,5.2,0.608,6GE096,5.2
CF34-8C1 Block 1,4,19.73,0.13,4.03,1,5.2,0.0703,6GE096,0
CF34-8C5,1,4.24,0.06,10.75,1,8.32,0.1793,6GE092,0
CF34-8C5,2,0.57,0.02,12.6,1,2.52,0.5297,6GE092,2.52
CF34-8C5,3,0.64,0.02,14.69,1,8.32,0.6481,6GE092,8.32
CF34-8C5,4,18.25,0.13,4.6,1,8.32,0.0643,6GE092,0
CF34-8E2,1,4.52,0.07,10.29,1,4.58,0.168,6GE093,0
CF34-8E2,2,0.58,0.03,11.82,1,0.96,0.485,6GE093,0.92
CF34-8E2,3,0.59,0.02,13.6,1,4.58,0.5906,6GE093,4.58
CF34-8E2,4,20.01,0.16,4.45,1,4.58,0.062,6GE093,0
CF34-8E5,1,4.23,0.06,10.77,1,8.63,0.18,6GE094,0
CF34-8E5,2,0.57,0.02,12.65,1,2.64,0.5326,6GE094,2.64
CF34-8E5,3,0.64,0.02,14.77,1,8.63,0.6518,6GE094,8.63
CF34-8E5,4,18.16,0.13,4.61,1,8.63,0.0644,6GE094,0
CF34-8E5A1,1,4.05,0.06,11.06,1,13.64,0.1876,6GE095,0
CF34-8E5A1,2,0.57,0.02,13.15,1,3.9,0.5632,6GE095,3.9
CF34-8E5A1,3,0.71,0.02,15.81,1,13.64,0.6914,6GE095,13.64
CF34-8E5A1,4,17.3,0.13,4.7,1,13.64,0.066,6GE095,0
CF6-45A,1,5.01,0.35,9.36,1,1.25,0.592,3GE067,1.25
CF6-45A,2,0.54,0.14,21.61,1,11.98,1.663,3GE067,11.98
CF6-45A,3,0.43,0.09,25.45,1,11.61,2.027,3GE067,11.61
CF6-45A,4,24.04,2.72,3.4,1,1.4,0.163,3GE067,1.4
CF6-45A2,1,5.01,0.35,9.36,1,1.25,0.592,3GE068,1.25
CF6-45A2,2,0.54,0.14,21.61,1,11.98,1.663,3GE068,11.98
CF6-45A2,3,0.43,0.09,25.45,1,11.61,2.027,3GE068,11.61
CF6-45A2,4,24.04,2.72,3.4,1,1.4,0.163,3GE068,1.4
CF6-45A2 non-LEFN,1,7.5,1.1,8.4,1,2.9,0.583,1GE005,2.9
CF6-45A2 non-LEFN,2,0.5,0.7,26.2,1,2.2,1.716,1GE005,2.2
CF6-45A2 non-LEFN,3,0.5,0.7,31,1,2.9,2.058,1GE005,2.9
CF6-45A2 non-LEFN,4,66,26,3.3,1,4.6,0.2,1GE005,4.6
CF6-50A,1,4.35,0.31,9.72,1,1.49,0.625,3GE069,1.49
CF6-50A,2,0.49,0.14,23.27,1,12.03,1.787,3GE069,12.03
CF6-50A,3,0.43,0.15,27.17,1,11.53,2.168,3GE069,11.53
CF6-50A,4,24.04,2.72,3.4,1,1.4,0.163,3GE069,1.4
CF6-50C,1,3.99,0.29,10.09,1,1.61,0.641,3GE070,1.61
CF6-50C,2,0.46,0.14,24.3,1,11.83,1.875,3GE070,11.83
CF6-50C,3,0.44,0.14,28.03,1,11.41,2.281,3GE070,11.41
CF6-50C,4,24.04,2.72,3.4,1,1.4,0.163,3GE070,1.4
CF6-50C non-LEFN,1,5.2,1,9.4,1,2.8,0.643,1GE006,2.8
CF6-50C non-LEFN,2,0.5,0.7,29,1,2.6,1.915,1GE006,2.6
CF6-50C non-LEFN,3,0.5,0.6,35,1,3.9,2.379,1GE006,3.9
CF6-50C non-LEFN,4,62.3,23,3.5,1,4.5,0.212,1GE006,4.5
CF6-50C1,1,3.71,0.28,10.16,1,1.62,0.663,3GE073,1.62
CF6-50C1,2,0.45,0.15,25.5,1,11.72,1.94,3GE073,11.72
CF6-50C1,3,0.45,0.14,28.97,1,10.95,2.361,3GE073,10.95
CF6-50C1,4,24.04,2.72,3.4,1,1.4,0.163,3GE073,1.4
CF6-50C1 non-LEFN,1,4.3,1,9.5,1,2.7,0.66,1GE007,2.7
CF6-50C1 non-LEFN,2,0.5,0.7,29.7,1,2.7,1.975,1GE007,2.7
CF6-50C1 non-LEFN,3,0.5,0.6,36.3,1,4.1,2.487,1GE007,4.1
CF6-50C1 non-LEFN,4,61.8,21.8,3.6,1,4.5,0.215,1GE007,4.5
CF6-50C2,1,3.71,0.28,10.16,1,1.62,0.663,3GE074,1.62
CF6-50C2,2,0.45,0.15,25.5,1,11.72,1.94,3GE074,11.72
CF6-50C2,3,0.45,0.14,28.97,1,10.95,2.361,3GE074,10.95
CF6-50C2,4,24.04,2.72,3.4,1,1.4,0.163,3GE074,1.4
CF6-50C2 non-LEFN,1,4.3,1,9.5,1,2.7,0.66,1GE007,2.7
CF6-50C2 non-LEFN,2,0.5,0.7,29.7,1,2.7,1.975,1GE007,2.7
CF6-50C2 non-LEFN,3,0.5,0.6,36.3,1,4.1,2.487,1GE007,4.1
CF6-50C2 non-LEFN,4,61.8,21.8,3.6,1,4.5,0.215,1GE007,4.5
CF6-50C2B,1,3.42,0.26,10.49,1,1.58,0.667,3GE078,1.58
CF6-50C2B,2,0.44,0.15,26.34,1,11.62,1.997,3GE078,11.62
CF6-50C2B,3,0.46,0.13,29.59,1,11.17,2.41,3GE078,11.17
CF6-50C2B,4,24.04,2.72,3.4,1,1.4,0.163,3GE078,1.4
CF6-50C2R,1,3.99,0.29,10.09,1,1.61,0.641,3GE072,1.61
CF6-50C2R,2,0.46,0.14,24.3,1,11.83,1.875,3GE072,11.83
CF6-50C2R,3,0.44,0.14,28.03,1,11.41,2.281,3GE072,11.41
CF6-50C2R,4,24.04,2.72,3.4,1,1.4,0.163,3GE072,1.4
CF6-50C2R non-LEFN,1,5.2,1,9.4,1,2.8,0.643,1GE008,2.8
CF6-50C2R non-LEFN,2,0.5,0.7,29,1,2.6,1.915,1GE008,2.6
CF6-50C2R non-LEFN,3,0.5,0.6,35,1,3.9,2.379,1GE008,3.9
CF6-50C2R non-LEFN,4,62.3,23,3.5,1,4.5,0.212,1GE008,4.5
CF6-50CA,1,3.99,0.29,10.09,1,1.61,0.641,3GE071,1.61
CF6-50CA,2,0.46,0.14,24.3,1,11.83,1.875,3GE071,11.83
CF6-50CA,3,0.44,0.14,28.03,1,11.41,2.281,3GE071,11.41
CF6-50CA,4,24.04,2.72,3.4,1,1.4,0.163,3GE071,1.4
CF6-50E,1,3.71,0.28,10.16,1,1.62,0.663,3GE075,1.62
CF6-50E,2,0.45,0.15,25.5,1,11.72,1.94,3GE075,11.72
CF6-50E,3,0.45,0.14,28.97,1,10.95,2.361,3GE075,10.95
CF6-50E,4,24.04,2.72,3.4,1,1.4,0.163,3GE075,1.4
CF6-50E1,1,3.71,0.28,10.16,1,1.62,0.663,3GE076,1.62
CF6-50E1,2,0.45,0.15,25.5,1,11.72,1.94,3GE076,11.72
CF6-50E1,3,0.45,0.14,28.97,1,10.95,2.361,3GE076,10.95
CF6-50E1,4,24.04,2.72,3.4,1,1.4,0.163,3GE076,1.4
CF6-50E2,1,3.71,0.28,10.16,1,1.62,0.663,3GE077,1.62
CF6-50E2,2,0.45,0.15,25.5,1,11.72,1.94,3GE077,11.72
CF6-50E2,3,0.45,0.14,28.97,1,10.95,2.361,3GE077,10.95
CF6-50E2,4,24.04,2.72,3.4,1,1.4,0.163,3GE077,1.4
CF6-50E2 (non-LEFN),1,4.3,1,9.5,1,2.7,0.66,1GE009,2.7
CF6-50E2 (non-LEFN),2,0.5,0.7,29.7,1,2.7,1.975,1GE009,2.7
CF6-50E2 (non-LEFN),3,0.5,0.6,36.3,1,4.1,2.487,1GE009,4.1
CF6-50E2 (non-LEFN),4,61.8,21.8,3.6,1,4.5,0.215,1GE009,4.5
CF6-50E2B,1,3.42,0.26,10.49,1,1.58,0.667,3GE079,1.58
CF6-50E2B,2,0.44,0.15,26.34,1,11.62,1.997,3GE079,11.62
CF6-50E2B,3,0.46,0.13,29.59,1,11.17,2.41,3GE079,11.17
CF6-50E2B,4,24.04,2.72,3.4,1,1.4,0.163,3GE079,1.4
CF6-6D,1,6.5,0.7,11.4,1,3,0.4839,1GE001,3
CF6-6D,2,0.5,0.3,32.6,1,3,1.431,1GE001,3
